data_ref;municipio;valor_pago;tipo_auxilio;qtde_auxilios_deferidos
02_2025;ÁGUAS FORMOSAS;2488,15;FUNERAL;1
02_2025;ALMENARA;1976,8;FUNERAL;1
02_2025;ALVINÓPOLIS;2513,08;FUNERAL;1
02_2025;ASTOLFO DUTRA;500,0;FUNERAL;1
02_2025;BELA VISTA DE MINAS;1924,29;FUNERAL;1
02_2025;BELO HORIZONTE;1412,0;FUNERAL;1
02_2025;BELO HORIZONTE;2131,34;FUNERAL;1
02_2025;BELO HORIZONTE;2048,26;FUNERAL;1
02_2025;BELO HORIZONTE;1466,58;FUNERAL;1
02_2025;BELO HORIZONTE;750,0;FUNERAL;1
02_2025;BELO HORIZONTE;1412,0;FUNERAL;1
02_2025;BELO HORIZONTE;2598,38;FUNERAL;1
02_2025;BERTÓPOLIS;1868,68;FUNERAL;1
02_2025;BOM DESPACHO;1412,0;FUNERAL;1
02_2025;CONSELHEIRO LAFAIETE;1412,0;FUNERAL;1
02_2025;CORINTO;300,0;FUNERAL;1
02_2025;DESTERRO DE ENTRE RIOS;1412,0;FUNERAL;1
02_2025;DIAMANTINA;1412,0;FUNERAL;1
02_2025;DIVERSOS MUNICÍPIOS;1059,0;NATALIDADE;1
02_2025;DIVERSOS MUNICÍPIOS;1059,0;NATALIDADE;1
02_2025;DIVERSOS MUNICÍPIOS;990,0;NATALIDADE;1
02_2025;DIVERSOS MUNICÍPIOS;1138,5;NATALIDADE;1
02_2025;DIVERSOS MUNICÍPIOS;1059,0;NATALIDADE;1
02_2025;DIVINÓPOLIS;1579,35;FUNERAL;1
02_2025;DIVINÓPOLIS;1743,31;FUNERAL;1
02_2025;DIVINÓPOLIS;1412,0;FUNERAL;1
02_2025;DIVINÓPOLIS;1412,0;FUNERAL;1
02_2025;FORMIGA;1625,7;FUNERAL;1
02_2025;IBIRITÉ;1466,58;FUNERAL;1
02_2025;IPATINGA;1059,0;NATALIDADE;1
02_2025;ITAJUBA;1486,82;FUNERAL;1
02_2025;ITAPECERICA;1412,0;FUNERAL;1
02_2025;ITAÚNA;505,0;FUNERAL;1
02_2025;JEQUITINHONHA;2400,0;FUNERAL;1
02_2025;JUIZ DE FORA;1620,0;FUNERAL;1
02_2025;JUIZ DE FORA;1694,4;FUNERAL;1
02_2025;JUIZ DE FORA;1000,0;FUNERAL;1
02_2025;MALACACHETA;1924,29;FUNERAL;1
02_2025;MONTE CARMELO;2485,12;FUNERAL;1
02_2025;MONTE SANTO DE MINAS;1934,47;FUNERAL;1
02_2025;MURIAÉ;1412,0;FUNERAL;1
02_2025;MURIAÉ;2273,5;FUNERAL;1
02_2025;NOVA SERRANA;1547,35;FUNERAL;1
02_2025;OLIVEIRA;2130,1;FUNERAL;1
02_2025;PERDÕES;1831,57;FUNERAL;1
02_2025;PIAU;1800,3;FUNERAL;1
02_2025;PONTE NOVA;2541,6;FUNERAL;1
02_2025;PONTE NOVA;1320,0;FUNERAL;1
02_2025;RESENDE COSTA;1540,83;FUNERAL;1
02_2025;RESPLENDOR;1412,0;FUNERAL;1
02_2025;RIO ESPERA;1800,0;FUNERAL;1
02_2025;SABARÁ;2378,54;FUNERAL;1
02_2025;SANTA LUZIA;1412,0;FUNERAL;1
02_2025;SÃO DOMINGOS DO PRATA;1786,89;FUNERAL;1
02_2025;SÃO JOÃO DEL REI;1986,37;FUNERAL;1
02_2025;SÃO JOÃO DO PARAÍSO;1466,58;FUNERAL;1
02_2025;SÃO JOSÉ DO JACURI;1412,0;FUNERAL;1
02_2025;TEÓFILO OTONI;2070,0;FUNERAL;1
02_2025;TEÓFILO OTONI;1059,0;NATALIDADE;1
02_2025;TIMOTEO;1477,36;FUNERAL;1
02_2025;TRÊS PONTAS;1412,0;FUNERAL;1
02_2025;UBERABA;800,0;FUNERAL;1
02_2025;UBERLÂNDIA;1412,0;FUNERAL;1
02_2025;VARGINHA;2485,12;FUNERAL;1
02_2025;VIÇOSA;1412,0;FUNERAL;1
